"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"209773_s_at",8.03559046563193,8.02757038461538,32.4446373182044,1.39787390699696e-36,4.175868722372e-32,72.7366452667419
"201291_s_at",7.68928762749446,9.90451846153846,31.209804959375,9.83986874434336e-36,9.88867558513908e-32,70.8728716745539
"201292_at",6.83780237250555,9.53219326923077,30.8362480856831,1.80024380337654e-35,9.88867558513908e-32,70.2942955431155
"224061_at",-4.46570203991131,3.12695115384615,-30.8229589535809,1.8395706323929e-35,9.88867558513908e-32,70.2735831606258
"211565_at",-6.3563743902439,3.41905326923077,-30.8214247639038,1.84416674943899e-35,9.88867558513908e-32,70.2711914014411
"210052_s_at",6.88706920177384,8.20070826923077,30.7758567685945,1.98614312291482e-35,9.88867558513908e-32,70.2000975569406
"218009_s_at",6.94346643015522,8.49852076923077,29.783647553909,1.02366669955873e-34,4.36857075941685e-31,68.6254070300964
"232538_at",-5.68538984478936,3.87725423076923,-29.4425293123452,1.81920613076063e-34,6.79314309302653e-31,68.0719627528876
"207828_s_at",6.67008179600887,9.0620375,29.2592567908172,2.48378011028812e-34,8.24421813718189e-31,67.7719942494885
"236359_at",-4.97596811529933,3.31470961538462,-28.8975150758896,4.61580320322365e-34,1.378878890899e-30,67.1744595010723
"220232_at",-4.51826445676275,7.90533134615385,-28.6821099964157,6.69769022994658e-34,1.81891000217449e-30,66.8151576749329
"206093_x_at",-7.38109166297118,3.80414038461538,-28.3121617961331,1.27676990626635e-33,2.94579887182817e-30,66.1918898462857
"219918_s_at",7.0150321286031,8.58492211538461,28.3098579002983,1.28193972261796e-33,2.94579887182817e-30,66.1879836209562
"213451_x_at",-7.2765623059867,4.06828230769231,-28.0332161372973,2.08695661360262e-33,4.45311820843937e-30,65.7166875582332
"216333_x_at",-7.52390290465632,3.97999557692308,-27.8626299511548,2.82446008717242e-33,5.62500641227345e-30,65.4238249493748
"202954_at",6.64510294900221,9.14957173076923,27.6659036692458,4.01211193048194e-33,7.49086373120544e-30,65.0839320847576
"209408_at",6.49450303769401,6.96136403846154,26.5499690121782,3.06460863404981e-32,5.38523845441e-29,63.1110195281463
"202870_s_at",7.23673638580932,8.58354557692308,26.4027482851723,4.02954131076213e-32,6.54004369143454e-29,62.8448889561137
"228273_at",5.88004971175166,9.12301576923077,26.3857044116715,4.15963680036341e-32,6.54004369143454e-29,62.813988548104
"218782_s_at",7.01222924611973,8.71016942307692,25.7823746224523,1.29585559619636e-31,1.93555471125869e-28,61.7079158924375
"204754_at",-4.20930099778271,3.71184442307692,-25.6599669871885,1.63639286761699e-31,2.32780781592011e-28,61.4805618604914
"201663_s_at",6.88919800443459,8.43981038461538,25.6169499578645,1.77662534363045e-31,2.41241494955783e-28,61.4004246062863
"210051_at",-4.8906223059867,3.32260423076923,-25.5935612088468,1.85794245341239e-31,2.41314412655601e-28,61.3568007921443
"229839_at",-7.06716370288248,4.21319596153846,-25.2531886558369,3.57778613596013e-31,4.38147305931152e-28,60.7177357514058
"213226_at",4.96563645232816,7.94881153846154,25.240505818063,3.66675012495524e-31,4.38147305931152e-28,60.6937696035663
"228618_at",-3.7219223059867,3.91043923076923,-25.188887067046,4.05268135469851e-31,4.65637500418879e-28,60.5961134348636
"226303_at",-3.68134762749446,3.68547807692308,-25.1633210365618,4.25888739618708e-31,4.71206456245543e-28,60.5476774188709
"218039_at",6.50373835920177,8.88798846153846,25.1308559546936,4.53620818801719e-31,4.83964811430848e-28,60.4861054783907
"223229_at",6.70011490022173,7.93899653846154,24.9570000439092,6.36678647643612e-31,6.55844870381298e-28,60.1551275802324
"221928_at",-5.42660760532151,5.98306134615385,-24.4181252239071,1.84430398796141e-30,1.83649643441237e-27,59.1156674061172
"203362_s_at",5.98281483370288,9.22071211538462,24.2775290187037,2.44207657082191e-30,2.353295270973e-27,58.8410312656681
"214710_s_at",6.06742824833703,8.79076653846154,24.1341250753266,3.25636049820184e-30,3.03991428633699e-27,58.5594231055282
"206742_at",-5.26258711751663,2.97595519230769,-24.0404497808969,3.9328226759832e-30,3.56015793332261e-27,58.3746519832557
"229177_at",-4.13902141906874,2.72175807692308,-23.7641482503842,6.88730129222522e-30,6.05130445596012e-27,57.8258579397887
"243689_s_at",-6.11932893569845,3.91696903846154,-23.7422286450121,7.20202982091467e-30,6.14703533829097e-27,57.7820760825924
"201695_s_at",5.95328436807095,7.44167211538462,23.7062219801632,7.75112347918989e-30,6.43192532482888e-27,57.7100783354775
"234675_x_at",-3.01858190687361,10.2413915384615,-23.6024728319783,9.58373437765675e-30,7.73769992064162e-27,57.5020765757072
"204444_at",5.31273274944568,7.23225634615385,23.5577686358004,1.05039692769901e-29,8.25750195293484e-27,57.4121993468613
"218542_at",5.31670980044346,7.10541846153846,23.541030814462,1.08712177000521e-29,8.32707400906809e-27,57.3785090035719
"203358_s_at",5.58482372505543,7.97600961538462,23.5019653784204,1.1780026092194e-29,8.79761798630276e-27,57.2997938490625
"227106_at",-2.14127736141907,5.88624788461538,-23.4551820614034,1.29707833502421e-29,9.45063929321421e-27,57.2053739439554
"219787_s_at",5.28681614190688,8.72382846153846,23.4096169842403,1.42483186816459e-29,1.01342862851621e-26,57.1132514396224
"209464_at",4.57066312638581,6.39287480769231,23.1309579152311,2.53923730344265e-29,1.76406130152889e-26,56.5463756903753
"213715_s_at",-2.99207953436807,5.73231673076923,-23.0783980726552,2.83343986460119e-29,1.91502901468561e-26,56.4387760132421
"202779_s_at",5.74825323725056,8.7745575,23.0698021191674,2.88475565429827e-29,1.91502901468561e-26,56.4211579243412
"236010_at",-4.10619472283814,4.50036884615385,-23.0308295334552,3.12953915469375e-29,2.03236354713406e-26,56.3412077646804
"201890_at",6.43939157427939,8.97820076923077,22.9698551319984,3.55565291184392e-29,2.25995786033007e-26,56.2158823929335
"43427_at",-7.01398372505543,5.73595269230769,-22.8305882529522,4.76428590015141e-29,2.96507318115048e-26,55.9285345229412
"202705_at",6.16490709534368,8.58044576923077,22.8077102298141,4.9995894523609e-29,3.04801501449749e-26,55.8811833079017
"209642_at",5.27688855875832,6.86263730769231,22.7734116595291,5.37470320005211e-29,3.21117017390313e-26,55.8101165620114
"210559_s_at",6.39426405764966,8.14313673076923,22.7195707127706,6.02220003716004e-29,3.52747415117808e-26,55.6983684465174
"1561754_at",-5.77453931263858,4.43381057692308,-22.6203506871586,7.43094130024244e-29,4.26893287427197e-26,55.4918262980323
"229128_s_at",7.75077439024391,9.1316075,22.569428787908,8.27984526892015e-29,4.6658044964721e-26,55.3855166304046
"224159_x_at",-3.67861909090909,9.32785942307692,-22.5607457442652,8.43415267330009e-29,4.6658044964721e-26,55.3673681421946
"49452_at",-7.85312237250555,5.48117596153846,-22.1055845480363,2.23853574636021e-28,1.21585051547306e-25,54.4074210761586
"204825_at",6.02990691796009,9.11859423076923,22.0872675067808,2.32901113415416e-28,1.24240267161763e-25,54.3684327799283
"204962_s_at",6.144612172949,7.69435673076923,22.0432987329685,2.56167575002791e-28,1.34254280141375e-25,54.2747301543782
"227419_x_at",-5.37682454545455,6.23605519230769,-21.8681794536498,3.74875527161296e-28,1.90157966520774e-25,53.8999263840283
"237737_at",-3.90150764966741,3.24104673076923,-21.8673343458657,3.75567235454278e-28,1.90157966520774e-25,53.8981113747788
"210639_s_at",5.3233723059867,7.5323825,21.8535733571364,3.8701481797419e-28,1.92688227622383e-25,53.868548895206
"204134_at",-3.56471392461197,4.21959653846154,-21.6603672142577,5.90894435137354e-28,2.89373597718986e-25,53.4517951737133
"204822_at",6.42406372505543,7.85987807692308,21.6027896345374,6.70707849430414e-28,3.23162186871528e-25,53.3269835183606
